fighter,opp,date,division,secs,sig_l,sig_a,sig_l_opp,sig_a_opp,td_l,td_a,td_l_opp,td_a_opp,ctrl,sub,kd,kd_abs,won,decided,won_by_ko,lost_by_ko,won_by_sub,won_by_dec,year
Ed Herman,Jason MacDonald,2006-10-10,Middleweight,163,2,2,5,7,1,2,0,1,78,0,0,0,0,1,0,0,0,0,2006
Jason MacDonald,Ed Herman,2006-10-10,Middleweight,163,5,7,2,2,0,1,1,2,57,2,0,0,1,1,0,0,1,0,2006
Chris Price,Kendall Grove,2006-10-10,Middleweight,239,5,10,13,26,0,0,1,1,36,0,0,0,0,1,0,1,0,0,2006
Kendall Grove,Chris Price,2006-10-10,Middleweight,239,13,26,5,10,1,1,0,0,164,1,0,0,1,1,1,0,0,0,2006
Forrest Petz,Marcus Davis,2006-10-10,Welterweight,298,5,18,33,50,0,0,0,0,21,0,0,0,0,1,0,0,0,0,2006
Marcus Davis,Forrest Petz,2006-10-10,Welterweight,298,33,50,5,18,0,0,0,0,50,1,0,0,1,1,0,0,1,0,2006
Matt Hamill,Seth Petruzelli,2006-10-10,Light Heavyweight,900,14,40,25,58,7,11,0,0,609,0,0,1,1,1,0,0,0,1,2006
Seth Petruzelli,Matt Hamill,2006-10-10,Light Heavyweight,900,25,58,14,40,0,0,7,11,11,1,1,0,0,1,0,0,0,0,2006
Crafton Wallace,Nate Marquardt,2006-10-10,Middleweight,374,4,18,13,27,0,0,2,3,45,0,0,0,0,1,0,0,0,0,2006
Nate Marquardt,Crafton Wallace,2006-10-10,Middleweight,374,13,27,4,18,2,3,0,0,215,2,0,0,1,1,0,0,1,0,2006
Josh Haynes,Rory Singer,2006-10-10,Middleweight,900,23,101,50,123,1,6,0,1,173,0,1,0,0,1,0,0,0,0,2006
Rory Singer,Josh Haynes,2006-10-10,Middleweight,900,50,123,23,101,0,1,1,6,76,0,0,1,1,1,0,0,0,1,2006
John Alessio,Thiago Alves,2006-10-10,Welterweight,900,13,82,63,142,2,10,0,0,253,0,0,0,0,1,0,0,0,0,2006
Thiago Alves,John Alessio,2006-10-10,Welterweight,900,63,142,13,82,0,0,2,10,76,0,0,0,1,1,0,0,0,1,2006
Ken Shamrock,Tito Ortiz,2006-10-10,Light Heavyweight,143,0,0,18,29,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2006
Tito Ortiz,Ken Shamrock,2006-10-10,Light Heavyweight,143,18,29,0,0,1,1,0,0,126,0,0,0,1,1,1,0,0,0,2006
Dustin Hazelett,Tony DeSouza,2006-10-10,Welterweight,239,1,4,5,5,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2006
Tony DeSouza,Dustin Hazelett,2006-10-10,Welterweight,239,5,5,1,4,1,1,0,0,218,1,0,0,1,1,0,0,1,0,2006
Aisling Daly,Alex Chambers,2014-12-12,Women's Strawweight,293,16,26,12,15,1,2,1,1,185,1,0,0,1,1,0,0,1,0,2014
Alex Chambers,Aisling Daly,2014-12-12,Women's Strawweight,293,12,15,16,26,1,1,1,2,73,0,0,0,0,1,0,0,0,0,2014
Bec Rawlings,Heather Clark,2014-12-12,Women's Strawweight,900,69,118,56,99,0,2,1,5,61,0,0,0,0,1,0,0,0,0,2014
Heather Clark,Bec Rawlings,2014-12-12,Women's Strawweight,900,56,99,69,118,1,5,0,2,473,1,0,0,1,1,0,0,0,1,2014
Carla Esparza,Rose Namajunas,2014-12-12,Women's Strawweight,686,42,90,28,72,5,7,1,3,303,1,0,0,1,1,0,0,1,0,2014
Rose Namajunas,Carla Esparza,2014-12-12,Women's Strawweight,686,28,72,42,90,1,3,5,7,23,0,0,0,0,1,0,0,0,0,2014
Angela Hill,Emily Kagan,2014-12-12,Women's Strawweight,900,107,159,41,91,0,1,2,12,262,0,1,0,1,1,0,0,0,1,2014
Emily Kagan,Angela Hill,2014-12-12,Women's Strawweight,900,41,91,107,159,2,12,0,1,336,0,0,1,0,1,0,0,0,0,2014
Felice Herrig,Lisa Ellis,2014-12-12,Women's Strawweight,485,8,14,4,5,1,1,2,3,296,3,0,0,1,1,0,0,1,0,2014
Lisa Ellis,Felice Herrig,2014-12-12,Women's Strawweight,485,4,5,8,14,2,3,1,1,165,1,0,0,0,1,0,0,0,0,2014
Charles Oliveira,Jeremy Stephens,2014-12-12,Featherweight,900,43,67,48,79,2,7,0,0,323,3,0,0,1,1,0,0,0,1,2014
Jeremy Stephens,Charles Oliveira,2014-12-12,Featherweight,900,48,79,43,67,0,0,2,7,379,0,0,0,0,1,0,0,0,0,2014
Jessica Penne,Randa Markos,2014-12-12,Women's Strawweight,900,39,98,55,102,4,8,1,2,402,0,0,0,1,1,0,0,0,1,2014
Randa Markos,Jessica Penne,2014-12-12,Women's Strawweight,900,55,102,39,98,1,2,4,8,137,0,0,0,0,1,0,0,0,0,2014
Joanne Wood,Seo Hee Ham,2014-12-12,Women's Strawweight,900,109,223,58,111,2,4,0,3,338,0,0,0,1,1,0,0,0,1,2014
Seo Hee Ham,Joanne Wood,2014-12-12,Women's Strawweight,900,58,111,109,223,0,3,2,4,42,0,0,0,0,1,0,0,0,0,2014
Joe Proctor,Yancy Medeiros,2014-12-12,Lightweight,277,15,46,25,66,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2014
Yancy Medeiros,Joe Proctor,2014-12-12,Lightweight,277,25,66,15,46,0,0,0,0,27,1,1,0,1,1,0,0,1,0,2014
Daron Cruickshank,KJ Noons,2014-12-12,Lightweight,325,23,59,18,47,2,3,0,0,23,0,0,0,0,0,0,0,0,0,2014
KJ Noons,Daron Cruickshank,2014-12-12,Lightweight,325,18,47,23,59,0,0,2,3,2,0,0,0,0,0,0,0,0,0,2014
Angela Magana,Tecia Pennington,2014-12-12,Women's Strawweight,900,37,145,96,196,0,2,1,1,4,0,0,1,0,1,0,0,0,0,2014
Tecia Pennington,Angela Magana,2014-12-12,Women's Strawweight,900,96,196,37,145,1,1,0,2,38,0,1,0,1,1,0,0,0,1,2014
Andrew Sanchez,Ryan Janes,2017-12-01,Middleweight,658,96,183,159,267,3,7,0,0,125,0,2,0,0,1,0,1,0,0,2017
Ryan Janes,Andrew Sanchez,2017-12-01,Middleweight,658,159,267,96,183,0,0,3,7,14,0,0,2,1,1,1,0,0,0,2017
Ariel Beck,Shana Dobson,2017-12-01,Women's Flyweight,473,35,102,34,95,0,0,0,0,9,0,0,1,0,1,0,1,0,0,2017
Shana Dobson,Ariel Beck,2017-12-01,Women's Flyweight,473,34,95,35,102,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2017
Barb Honchak,Lauren Murphy,2017-12-01,Women's Flyweight,900,71,236,59,197,0,0,2,2,21,2,0,0,0,1,0,0,0,0,2017
Lauren Murphy,Barb Honchak,2017-12-01,Women's Flyweight,900,59,197,71,236,2,2,0,0,208,0,0,0,1,1,0,0,0,1,2017
Christina Marks,Montana De La Rosa,2017-12-01,Women's Flyweight,120,10,17,6,17,1,1,0,0,41,0,0,0,0,1,0,0,0,0,2017
Montana De La Rosa,Christina Marks,2017-12-01,Women's Flyweight,120,6,17,10,17,0,0,1,1,25,1,0,0,1,1,0,0,1,0,2017
DeAnna Bennett,Melinda Fabian,2017-12-01,Women's Flyweight,900,47,81,49,117,0,11,0,0,591,1,0,1,0,0,0,0,0,0,2017
Melinda Fabian,DeAnna Bennett,2017-12-01,Women's Flyweight,900,49,117,47,81,0,0,0,11,25,0,1,0,0,0,0,0,0,0,2017
Eric Spicely,Gerald Meerschaert,2017-12-01,Middleweight,438,17,31,36,85,1,5,0,0,221,1,0,1,0,1,0,1,0,0,2017
Gerald Meerschaert,Eric Spicely,2017-12-01,Middleweight,438,36,85,17,31,0,0,1,5,21,0,1,0,1,1,1,0,0,0,2017
Emily Whitmire,Gillian Robertson,2017-12-01,Women's Flyweight,132,9,15,2,6,0,0,1,1,33,0,0,0,0,1,0,0,0,0,2017
Gillian Robertson,Emily Whitmire,2017-12-01,Women's Flyweight,132,2,6,9,15,1,1,0,0,50,1,0,0,1,1,0,0,1,0,2017
Brett Johns,Joe Soto,2017-12-01,Bantamweight,30,1,9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,2017
Joe Soto,Brett Johns,2017-12-01,Bantamweight,30,0,0,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017
Karine Gevorgyan,Rachael Ostovich,2017-12-01,Women's Flyweight,100,2,10,3,13,0,2,1,1,22,0,0,0,0,1,0,0,0,0,2017
Rachael Ostovich,Karine Gevorgyan,2017-12-01,Women's Flyweight,100,3,13,2,10,1,1,0,2,36,1,0,0,1,1,0,0,1,0,2017
Nicco Montano,Roxanne Modafferi,2017-12-01,Women's Flyweight,1500,186,456,132,403,3,6,2,9,371,1,0,0,1,1,0,0,0,1,2017
Roxanne Modafferi,Nicco Montano,2017-12-01,Women's Flyweight,1500,132,403,186,456,2,9,3,6,185,1,0,0,0,1,0,0,0,0,2017
Sean O'Malley,Terrion Ware,2017-12-01,Bantamweight,900,141,252,88,288,3,6,0,2,27,0,0,0,1,1,0,0,0,1,2017
Terrion Ware,Sean O'Malley,2017-12-01,Bantamweight,900,88,288,141,252,0,2,3,6,71,0,0,0,0,1,0,0,0,0,2017
Angela Magana,Michelle Waterson-Gomez,2015-07-12,Women's Strawweight,758,8,24,47,60,1,1,3,3,477,1,0,0,0,1,0,0,0,0,2015
Michelle Waterson-Gomez,Angela Magana,2015-07-12,Women's Strawweight,758,47,60,8,24,3,3,1,1,117,4,0,0,1,1,0,0,1,0,2015
Dan Miller,Trevor Smith,2015-07-12,Middleweight,900,25,59,51,76,0,1,1,3,5,1,0,0,0,1,0,0,0,0,2015
Trevor Smith,Dan Miller,2015-07-12,Middleweight,900,51,76,25,59,1,3,0,1,713,0,0,0,1,1,0,0,0,1,2015
Darrell Montague,Willie Gates,2015-07-12,Flyweight,96,4,13,19,33,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2015
Willie Gates,Darrell Montague,2015-07-12,Flyweight,96,19,33,4,13,0,0,0,1,13,0,1,0,1,1,1,0,0,0,2015
Dominic Waters,George Sullivan,2015-07-12,Welterweight,900,13,53,54,96,5,5,2,2,325,0,0,0,0,1,0,0,0,0,2015
George Sullivan,Dominic Waters,2015-07-12,Welterweight,900,54,96,13,53,2,2,5,5,361,3,0,0,1,1,0,0,0,1,2015
Jake Ellenberger,Stephen Thompson,2015-07-12,Welterweight,269,5,14,20,35,0,1,1,3,1,0,1,2,0,1,0,1,0,0,2015
Stephen Thompson,Jake Ellenberger,2015-07-12,Welterweight,269,20,35,5,14,1,3,0,1,116,0,2,1,1,1,1,0,0,0,2015
Cezar Ferreira,Jorge Masvidal,2015-07-12,Welterweight,262,7,18,12,23,1,3,0,0,90,0,0,1,0,1,0,1,0,0,2015
Jorge Masvidal,Cezar Ferreira,2015-07-12,Welterweight,262,12,23,7,18,0,0,1,3,2,0,1,0,1,1,1,0,0,0,2015
Caio Magalhaes,Josh Samman,2015-07-12,Middleweight,172,3,8,12,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015
Josh Samman,Caio Magalhaes,2015-07-12,Middleweight,172,12,19,3,8,0,0,0,0,71,1,0,0,1,1,0,0,1,0,2015
Hayder Hassan,Kamaru Usman,2015-07-12,Welterweight,379,3,11,15,26,0,0,6,8,0,0,0,0,0,1,0,0,0,0,2015
Kamaru Usman,Hayder Hassan,2015-07-12,Welterweight,379,15,26,3,11,6,8,0,0,309,1,0,0,1,1,0,0,1,0,2015
Maximo Blanco,Mike de la Torre,2015-07-12,Featherweight,16,4,7,1,5,0,0,0,0,1,0,1,0,1,1,1,0,0,0,2015
Mike de la Torre,Maximo Blanco,2015-07-12,Featherweight,16,1,5,4,7,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2015
Michael Graves,Vicente Luque,2015-07-12,Welterweight,900,27,45,28,57,7,10,0,0,538,0,0,0,1,1,0,0,0,1,2015
Vicente Luque,Michael Graves,2015-07-12,Welterweight,900,28,57,27,45,0,0,7,10,209,1,0,0,0,1,0,0,0,0,2015
Jerrod Sanders,Russell Doane,2015-07-12,Bantamweight,900,15,22,13,26,3,8,1,2,402,3,0,1,1,1,0,0,0,1,2015
Russell Doane,Jerrod Sanders,2015-07-12,Bantamweight,900,13,26,15,22,1,2,3,8,381,3,1,0,0,1,0,0,0,0,2015
Darren Stewart,Edmen Shahbazyan,2018-11-30,Middleweight,900,34,71,22,37,1,3,8,21,41,0,0,0,0,1,0,0,0,0,2018
Edmen Shahbazyan,Darren Stewart,2018-11-30,Middleweight,900,22,37,34,71,8,21,1,3,597,0,0,0,1,1,0,0,0,1,2018
Antonina Shevchenko,Ji Yeon Kim,2018-11-30,Women's Flyweight,900,66,134,33,128,2,2,0,0,296,0,0,0,1,1,0,0,0,1,2018
Ji Yeon Kim,Antonina Shevchenko,2018-11-30,Women's Flyweight,900,33,128,66,134,0,0,2,2,97,0,0,0,0,1,0,0,0,0,2018
Alex Perez,Joseph Benavidez,2018-11-30,Flyweight,259,14,32,35,72,1,1,1,2,3,0,0,0,0,1,0,1,0,0,2018
Joseph Benavidez,Alex Perez,2018-11-30,Flyweight,259,35,72,14,32,1,2,1,1,75,0,0,0,1,1,1,0,0,0,2018
Juan Espino,Justin Frazier,2018-11-30,Heavyweight,216,22,23,4,6,2,2,0,0,200,2,0,0,1,1,0,0,1,0,2018
Justin Frazier,Juan Espino,2018-11-30,Heavyweight,216,4,6,22,23,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2018
Julija Stoliarenko,Leah Letson,2018-11-30,Women's Featherweight,900,57,158,73,179,0,4,0,1,2,1,0,0,0,1,0,0,0,0,2018
Leah Letson,Julija Stoliarenko,2018-11-30,Women's Featherweight,900,73,179,57,158,0,1,0,4,178,0,0,0,1,1,0,0,0,1,2018
Maurice Greene,Michel Batista,2018-11-30,Heavyweight,134,9,15,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,0,2018
Michel Batista,Maurice Greene,2018-11-30,Heavyweight,134,0,0,9,15,1,2,0,0,72,0,0,0,0,1,0,0,0,0,2018
Macy Chiasson,Pannie Kianzad,2018-11-30,Women's Featherweight,431,24,50,19,39,0,6,0,2,331,2,1,0,1,1,0,0,1,0,2018
Pannie Kianzad,Macy Chiasson,2018-11-30,Women's Featherweight,431,19,39,24,50,0,2,0,6,13,1,0,1,0,1,0,0,0,0,2018
Bryan Caraway,Pedro Munhoz,2018-11-30,Bantamweight,159,20,48,35,58,0,5,0,0,17,0,0,1,0,1,0,1,0,0,2018
Pedro Munhoz,Bryan Caraway,2018-11-30,Bantamweight,159,35,58,20,48,0,0,0,5,2,0,1,0,1,1,1,0,0,0,2018
Kamaru Usman,Rafael Dos Anjos,2018-11-30,Welterweight,1500,130,223,62,112,12,18,0,1,1104,0,0,0,1,1,0,0,0,1,2018
Rafael Dos Anjos,Kamaru Usman,2018-11-30,Welterweight,1500,62,112,130,223,0,1,12,18,21,2,0,0,0,1,0,0,0,0,2018
Chris Gutierrez,Raoni Barcelos,2018-11-30,Bantamweight,552,26,52,35,63,0,1,2,2,0,0,0,0,0,1,0,0,0,0,2018
Raoni Barcelos,Chris Gutierrez,2018-11-30,Bantamweight,552,35,63,26,52,2,2,0,1,322,1,0,0,1,1,0,0,1,0,2018
Kevin Aguilar,Ricky Glenn,2018-11-30,Featherweight,900,86,168,74,187,0,1,0,4,127,0,1,0,1,1,0,0,0,1,2018
Ricky Glenn,Kevin Aguilar,2018-11-30,Featherweight,900,74,187,86,168,0,4,0,1,29,0,0,1,0,1,0,0,0,0,2018
Darrell Horcher,Roosevelt Roberts,2018-11-30,Lightweight,290,10,33,16,35,0,1,0,0,56,0,0,0,0,1,0,0,0,0,2018
Roosevelt Roberts,Darrell Horcher,2018-11-30,Lightweight,290,16,35,10,33,0,0,0,1,5,1,0,0,1,1,0,0,1,0,2018
Ricky Rainey,Tim Means,2018-11-30,Welterweight,78,6,12,19,32,0,0,2,2,0,0,0,0,0,1,0,1,0,0,2018
Tim Means,Ricky Rainey,2018-11-30,Welterweight,78,19,32,6,12,2,2,0,0,33,0,0,0,1,1,1,0,0,0,2018
Brian Stann,Rodney Wallace,2009-12-05,Light Heavyweight,900,36,67,15,35,0,1,7,15,281,0,0,0,1,1,0,0,0,1,2009
Rodney Wallace,Brian Stann,2009-12-05,Light Heavyweight,900,15,35,36,67,7,15,0,1,360,2,0,0,0,1,0,0,0,0,2009
Frankie Edgar,Matt Veach,2009-12-05,Lightweight,440,25,61,7,42,0,3,3,9,37,1,0,0,1,1,0,0,1,0,2009
Matt Veach,Frankie Edgar,2009-12-05,Lightweight,440,7,42,25,61,3,9,0,3,121,0,0,0,0,1,0,0,0,0,2009
Darrill Schoonover,James McSweeney,2009-12-05,Heavyweight,800,16,48,58,95,0,3,1,2,126,1,0,0,0,1,0,1,0,0,2009
James McSweeney,Darrill Schoonover,2009-12-05,Heavyweight,800,58,95,16,48,1,2,0,3,436,2,0,0,1,1,1,0,0,0,2009
Dennis Hallman,John Howard,2009-12-05,Welterweight,895,8,24,14,22,2,4,2,3,550,2,0,1,0,1,0,1,0,0,2009
John Howard,Dennis Hallman,2009-12-05,Welterweight,895,14,22,8,24,2,3,2,4,212,0,1,0,1,1,1,0,0,0,2009
Jon Madsen,Justin Wren,2009-12-05,Heavyweight,900,26,100,17,159,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2009
Justin Wren,Jon Madsen,2009-12-05,Heavyweight,900,17,159,26,100,0,1,0,1,16,0,0,0,0,1,0,0,0,0,2009
Houston Alexander,Kevin Ferguson,2009-12-05,Catch Weight,900,43,79,27,66,0,0,4,4,16,0,0,0,0,1,0,0,0,0,2009
Kevin Ferguson,Houston Alexander,2009-12-05,Catch Weight,900,27,66,43,79,4,4,0,0,201,1,0,0,1,1,0,0,0,1,2009
Joe Brammer,Mark Bocek,2009-12-05,Lightweight,216,3,19,6,16,0,0,2,2,5,0,0,0,0,1,0,0,0,0,2009
Mark Bocek,Joe Brammer,2009-12-05,Lightweight,216,6,16,3,19,2,2,0,0,132,1,0,0,1,1,0,0,1,0,2009
Jon Jones,Matt Hamill,2009-12-05,Light Heavyweight,254,44,88,5,17,1,1,0,1,84,0,0,0,0,1,0,0,0,0,2009
Matt Hamill,Jon Jones,2009-12-05,Light Heavyweight,254,5,17,44,88,0,1,1,1,0,0,0,0,1,1,0,0,0,0,2009
Marcus Jones,Matt Mitrione,2009-12-05,Heavyweight,310,10,19,14,34,3,4,0,0,161,1,0,1,0,1,0,1,0,0,2009
Matt Mitrione,Marcus Jones,2009-12-05,Heavyweight,310,14,34,10,19,0,0,3,4,63,0,1,0,1,1,1,0,0,0,2009
Brendan Schaub,Roy Nelson,2009-12-05,Heavyweight,225,12,48,8,35,0,0,1,2,0,0,0,1,0,1,0,1,0,0,2009
Roy Nelson,Brendan Schaub,2009-12-05,Heavyweight,225,8,35,12,48,1,2,0,0,83,0,1,0,1,1,1,0,0,0,2009
Cristiano Marcello,Sam Sicilia,2012-06-01,Lightweight,473,39,90,33,93,0,2,0,0,5,0,0,0,0,1,0,1,0,0,2012
Sam Sicilia,Cristiano Marcello,2012-06-01,Lightweight,473,33,93,39,90,0,0,0,2,26,0,0,0,1,1,1,0,0,0,2012
Chris Tickle,Daron Cruickshank,2012-06-01,Lightweight,900,16,40,17,30,1,4,4,5,303,2,0,0,0,1,0,0,0,0,2012
Daron Cruickshank,Chris Tickle,2012-06-01,Lightweight,900,17,30,16,40,4,5,1,4,497,0,0,0,1,1,0,0,0,1,2012
Jake Ellenberger,Martin Kampmann,2012-06-01,Welterweight,400,19,50,13,31,0,0,0,1,247,0,1,1,0,1,0,1,0,0,2012
Martin Kampmann,Jake Ellenberger,2012-06-01,Welterweight,400,13,31,19,50,0,1,0,0,29,0,1,1,1,1,1,0,0,0,2012
Jeremy Larsen,Joe Proctor,2012-06-01,Lightweight,119,13,29,10,28,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2012
Joe Proctor,Jeremy Larsen,2012-06-01,Lightweight,119,10,28,13,29,0,0,0,0,5,0,1,0,1,1,1,0,0,0,2012
Erik Perez,John Albert,2012-06-01,Bantamweight,258,18,26,6,24,0,0,0,3,154,1,0,0,1,1,0,0,1,0,2012
John Albert,Erik Perez,2012-06-01,Bantamweight,258,6,24,18,26,0,3,0,0,53,2,0,0,0,1,0,0,0,0,2012
Charles Oliveira,Jonathan Brookins,2012-06-01,Featherweight,462,42,76,27,74,1,2,1,2,59,1,0,0,1,1,0,0,1,0,2012
Jonathan Brookins,Charles Oliveira,2012-06-01,Featherweight,462,27,74,42,76,1,2,1,2,67,1,0,0,0,1,0,0,0,0,2012
John Cofer,Justin Lawrence,2012-06-01,Lightweight,619,36,101,54,155,2,4,1,3,52,0,0,1,0,1,0,1,0,0,2012
Justin Lawrence,John Cofer,2012-06-01,Lightweight,619,54,155,36,101,1,3,2,4,53,0,1,0,1,1,1,0,0,0,2012
Max Holloway,Pat Schilling,2012-06-01,Featherweight,900,118,267,27,108,0,0,0,17,57,0,1,0,1,1,0,0,0,1,2012
Pat Schilling,Max Holloway,2012-06-01,Featherweight,900,27,108,118,267,0,17,0,0,61,0,0,1,0,1,0,0,0,0,2012
Al Iaquinta,Michael Chiesa,2012-06-01,Lightweight,167,8,16,9,15,0,0,1,3,0,0,0,0,0,1,0,0,0,0,2012
Michael Chiesa,Al Iaquinta,2012-06-01,Lightweight,167,9,15,8,16,1,3,0,0,65,1,0,0,1,1,0,0,1,0,2012
Chris Saunders,Myles Jury,2012-06-01,Lightweight,243,6,27,12,49,1,1,0,0,36,0,0,0,0,1,0,0,0,0,2012
Myles Jury,Chris Saunders,2012-06-01,Lightweight,243,12,49,6,27,0,0,1,1,0,1,0,0,1,1,0,0,1,0,2012
Angela Hill,Ashley Yoder,2017-07-07,Women's Strawweight,900,47,100,26,108,1,1,3,6,174,0,0,0,1,1,0,0,0,1,2017
Ashley Yoder,Angela Hill,2017-07-07,Women's Strawweight,900,26,108,47,100,3,6,1,1,200,0,0,0,0,1,0,0,0,0,2017
Brad Tavares,Elias Theodorou,2017-07-07,Middleweight,900,31,71,34,82,1,3,3,7,126,0,0,0,1,1,0,0,0,1,2017
Elias Theodorou,Brad Tavares,2017-07-07,Middleweight,900,34,82,31,71,3,7,1,3,253,0,0,0,0,1,0,0,0,0,2017
Dhiego Lima,Jesse Taylor,2017-07-07,Welterweight,343,4,4,21,24,0,0,2,3,0,0,1,0,0,1,0,0,0,0,2017
Jesse Taylor,Dhiego Lima,2017-07-07,Welterweight,343,21,24,4,4,2,3,0,0,329,2,0,1,1,1,0,0,1,0,2017
CB Dollaway,Ed Herman,2017-07-07,Light Heavyweight,900,54,72,24,41,6,6,1,1,573,1,0,0,1,1,0,0,0,1,2017
Ed Herman,CB Dollaway,2017-07-07,Light Heavyweight,900,24,41,54,72,1,1,6,6,165,3,0,0,0,1,0,0,0,0,2017
Gray Maynard,Teruto Ishihara,2017-07-07,Featherweight,900,16,24,8,13,11,11,0,0,777,2,0,0,1,1,0,0,0,1,2017
Teruto Ishihara,Gray Maynard,2017-07-07,Featherweight,900,8,13,16,24,0,0,11,11,6,0,0,0,0,1,0,0,0,0,2017
James Krause,Tom Gallicchio,2017-07-07,Welterweight,900,106,188,53,200,0,0,1,9,9,0,0,0,1,1,0,0,0,1,2017
Tom Gallicchio,James Krause,2017-07-07,Welterweight,900,53,200,106,188,1,9,0,0,61,0,0,0,0,1,0,0,0,0,2017
Jared Cannonier,Nick Roehrick,2017-07-07,Light Heavyweight,728,84,150,28,160,1,1,0,0,34,0,0,0,1,1,1,0,0,0,2017
Nick Roehrick,Jared Cannonier,2017-07-07,Light Heavyweight,728,28,160,84,150,0,0,1,1,14,0,0,0,0,1,0,1,0,0,2017
Jordan Johnson,Marcel Fortuna,2017-07-07,Light Heavyweight,900,42,139,53,103,2,6,0,3,110,0,0,0,1,1,0,0,0,1,2017
Marcel Fortuna,Jordan Johnson,2017-07-07,Light Heavyweight,900,53,103,42,139,0,3,2,6,0,0,0,0,0,1,0,0,0,0,2017
Drakkar Klose,Marc Diakiese,2017-07-07,Lightweight,900,39,79,34,77,3,7,2,6,321,0,0,0,1,1,0,0,0,1,2017
Marc Diakiese,Drakkar Klose,2017-07-07,Lightweight,900,34,77,39,79,2,6,3,7,189,0,0,0,0,1,0,0,0,0,2017
Justin Gaethje,Michael Johnson,2017-07-07,Lightweight,588,104,174,91,200,0,0,1,3,6,0,0,0,1,1,1,0,0,0,2017
Michael Johnson,Justin Gaethje,2017-07-07,Lightweight,588,91,200,104,174,1,3,0,0,34,0,0,0,0,1,0,1,0,0,2017
Juliana Lima,Tecia Pennington,2017-07-07,Women's Strawweight,353,6,31,15,23,1,3,0,7,48,0,0,0,0,1,0,0,0,0,2017
Tecia Pennington,Juliana Lima,2017-07-07,Women's Strawweight,353,15,23,6,31,0,7,1,3,187,1,0,0,1,1,0,0,1,0,2017
Bryan Caraway,Dustin Neace,2011-12-03,Featherweight,518,23,53,18,55,3,3,0,1,184,1,0,0,1,1,0,0,1,0,2011
Dustin Neace,Bryan Caraway,2011-12-03,Featherweight,518,18,55,23,53,0,1,3,3,55,1,0,0,0,1,0,0,0,0,2011
Dennis Bermudez,Diego Brandao,2011-12-03,Featherweight,291,25,78,19,39,1,1,1,1,62,0,1,1,0,1,0,0,0,0,2011
Diego Brandao,Dennis Bermudez,2011-12-03,Featherweight,291,19,39,25,78,1,1,1,1,28,1,1,1,1,1,0,0,1,0,2011
Dustin Pague,John Albert,2011-12-03,Bantamweight,69,3,10,21,34,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2011
John Albert,Dustin Pague,2011-12-03,Bantamweight,69,21,34,3,10,0,0,0,0,47,0,1,0,1,1,1,0,0,0,2011
Johnny Bedford,Louis Gaudinot,2011-12-03,Bantamweight,718,82,140,6,29,4,6,0,2,561,0,1,0,1,1,1,0,0,0,2011
Louis Gaudinot,Johnny Bedford,2011-12-03,Bantamweight,718,6,29,82,140,0,2,4,6,0,0,0,1,0,1,0,1,0,0,2011
Marcus Brimage,Stephen Bass,2011-12-03,Featherweight,900,88,197,73,140,1,1,0,6,41,0,0,0,1,1,0,0,0,1,2011
Stephen Bass,Marcus Brimage,2011-12-03,Featherweight,900,73,140,88,197,0,6,1,1,24,0,0,0,0,1,0,0,0,0,2011
Jason Miller,Michael Bisping,2011-12-03,Middleweight,814,27,119,102,192,1,11,0,0,149,0,0,0,0,1,0,1,0,0,2011
Michael Bisping,Jason Miller,2011-12-03,Middleweight,814,102,192,27,119,0,0,1,11,192,0,0,0,1,1,1,0,0,0,2011
Josh Ferguson,Roland Delorme,2011-12-03,Bantamweight,622,34,58,36,53,0,1,2,5,300,0,0,1,0,1,0,0,0,0,2011
Roland Delorme,Josh Ferguson,2011-12-03,Bantamweight,622,36,53,34,58,2,5,0,1,89,2,1,0,1,1,0,0,1,0,2011
Josh Clopton,Steven Siler,2011-12-03,Featherweight,900,43,62,72,133,4,6,0,1,465,0,0,0,0,1,0,0,0,0,2011
Steven Siler,Josh Clopton,2011-12-03,Featherweight,900,72,133,43,62,0,1,4,6,23,2,0,0,1,1,0,0,0,1,2011
John Dodson,TJ Dillashaw,2011-12-03,Bantamweight,114,7,24,2,21,0,0,0,0,3,0,1,0,1,1,1,0,0,0,2011
TJ Dillashaw,John Dodson,2011-12-03,Bantamweight,114,2,21,7,24,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2011
Tony Ferguson,Yves Edwards,2011-12-03,Lightweight,900,61,232,45,150,1,1,0,3,10,1,0,0,1,1,0,0,0,1,2011
Yves Edwards,Tony Ferguson,2011-12-03,Lightweight,900,45,150,61,232,0,3,1,1,3,0,0,0,0,1,0,0,0,0,2011
